Comuna,Region,Año,Nivel_ICVU,Salud_Medioambiente,Vivienda_Entorno,Conectividad_Movilidad,Condiciones_Laborales,Ambiente_Negocios,Condiciones_Socioculturales
Vitacura,Metropolitana,2024,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Vitacura,Metropolitana,2023,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Lo Barnechea,Metropolitana,2024,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Lo Barnechea,Metropolitana,2023,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Las Condes,Metropolitana,2024,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Las Condes,Metropolitana,2023,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Providencia,Metropolitana,2024,Alto,Alto,Medio Alto,Alto,Alto,Alto,Medio Alto
Providencia,Metropolitana,2023,Alto,Alto,Medio Alto,Alto,Alto,Alto,Medio Alto
Ñuñoa,Metropolitana,2024,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto
Ñuñoa,Metropolitana,2023,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto
San Miguel,Metropolitana,2024,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
San Miguel,Metropolitana,2023,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Estación Central,Metropolitana,2024,Medio Alto,Alto,Bajo,Medio Alto,Medio Bajo,Medio Alto,Medio Bajo
Estación Central,Metropolitana,2023,Medio Alto,Alto,Bajo,Medio Alto,Medio Bajo,Medio Alto,Medio Bajo
Santiago,Metropolitana,2024,Medio Alto,Medio Alto,Medio Bajo,Alto,Medio Alto,Medio Alto,Medio Bajo
Santiago,Metropolitana,2023,Medio Alto,Medio Alto,Medio Bajo,Alto,Medio Alto,Medio Alto,Medio Bajo
La Florida,Metropolitana,2024,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo
La Florida,Metropolitana,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
La Reina,Metropolitana,2024,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
La Reina,Metropolitana,2023,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
Macul,Metropolitana,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Macul,Metropolitana,2023,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto
San Bernardo,Metropolitana,2024,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
San Bernardo,Metropolitana,2023,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
Pudahuel,Metropolitana,2024,Medio Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo
Pudahuel,Metropolitana,2023,Medio Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo
Puente Alto,Metropolitana,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Medio Bajo,Bajo
Puente Alto,Metropolitana,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Medio Bajo,Bajo
La Pintana,Metropolitana,2024,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo
La Pintana,Metropolitana,2023,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo
Quilicura,Metropolitana,2024,Medio Bajo,Bajo,Bajo,Medio Bajo,Bajo,Medio Bajo,Bajo
Quilicura,Metropolitana,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Maipú,Metropolitana,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo
Maipú,Metropolitana,2023,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo
Recoleta,Metropolitana,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo,Bajo
Recoleta,Metropolitana,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo
Renca,Metropolitana,2024,Medio Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo
Renca,Metropolitana,2023,Medio Bajo,Bajo,Bajo,Bajo,Bajo,Bajo,Bajo
Vitacura,Metropolitana,2025,Alto,Alto,Alto,Alto,Alto,Alto,Alto
Lo Barnechea,Metropolitana,2025,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Las Condes,Metropolitana,2025,Alto,Alto,Alto,Alto,Alto,Alto,Medio Alto
Providencia,Metropolitana,2025,Alto,Alto,Medio Alto,Alto,Alto,Alto,Medio Alto
Ñuñoa,Metropolitana,2025,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto
La Reina,Metropolitana,2025,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
Estación Central,Metropolitana,2025,Medio Alto,Alto,Medio Bajo,Medio Alto,Medio Bajo,Medio Alto,Medio Bajo
Santiago,Metropolitana,2025,Medio Alto,Medio Alto,Medio Bajo,Alto,Medio Alto,Medio Alto,Medio Bajo
La Florida,Metropolitana,2025,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo
San Miguel,Metropolitana,2025,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Vitacura,Metropolitana,2025,Alto,Alto,Alto,Alto,Alto,Alto,Alto
Concepción,Biobío,2024,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Concepción,Biobío,2023,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Concepción,Biobío,2025,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
San Pedro de la Paz,Biobío,2024,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
San Pedro de la Paz,Biobío,2023,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Chiguayante,Biobío,2024,Medio Bajo,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Chiguayante,Biobío,2023,Medio Bajo,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Talcahuano,Biobío,2024,Medio Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
Talcahuano,Biobío,2023,Medio Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
Puerto Varas,Los Lagos,2024,Alto,Alto,Alto,Medio Alto,Alto,Medio Alto,Medio Alto
Puerto Varas,Los Lagos,2023,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Puerto Varas,Los Lagos,2025,Alto,Alto,Alto,Medio Alto,Alto,Medio Alto,Medio Alto
Osorno,Los Lagos,2024,Medio Bajo,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Osorno,Los Lagos,2023,Medio Bajo,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Puerto Montt,Los Lagos,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Puerto Montt,Los Lagos,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Coyhaique,Aysén,2024,Medio Bajo,Bajo,Medio Alto,Medio Bajo,Medio Bajo,Bajo,Medio Bajo
Coyhaique,Aysén,2023,Medio Bajo,Bajo,Medio Alto,Medio Bajo,Medio Bajo,Bajo,Medio Bajo
Punta Arenas,Magallanes,2024,Alto,Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Punta Arenas,Magallanes,2023,Alto,Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Antofagasta,Antofagasta,2024,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Antofagasta,Antofagasta,2023,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
La Serena,Coquimbo,2024,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
La Serena,Coquimbo,2023,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Coquimbo,Coquimbo,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Coquimbo,Coquimbo,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Valparaíso,Valparaíso,2024,Medio Bajo,Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
Valparaíso,Valparaíso,2023,Medio Bajo,Bajo,Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
Viña del Mar,Valparaíso,2024,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Viña del Mar,Valparaíso,2023,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Concón,Valparaíso,2024,Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Alto,Medio Bajo
Concón,Valparaíso,2023,Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Alto,Medio Bajo
Quilpué,Valparaíso,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Quilpué,Valparaíso,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Rancagua,O'Higgins,2024,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Rancagua,O'Higgins,2023,Medio Alto,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Machalí,O'Higgins,2024,Alto,Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
Machalí,O'Higgins,2023,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Talca,Maule,2024,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Talca,Maule,2023,Medio Bajo,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo
Curicó,Maule,2024,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo,Bajo
Curicó,Maule,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo,Bajo,Bajo
Temuco,Araucanía,2024,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo
Temuco,Araucanía,2023,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Bajo,Medio Bajo,Medio Bajo
Valdivia,Los Ríos,2024,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
Valdivia,Los Ríos,2023,Medio Alto,Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Alto
Iquique,Tarapacá,2024,Medio Alto,Medio Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio Bajo
Iquique,Tarapacá,2023,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Medio Bajo,Bajo
La Calera,Valparaíso,2024,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Bajo
La Calera,Valparaíso,2023,Medio Alto,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Medio Bajo
